,Baseline_rank,TOPSIS_CRITIC_rank,VIKOR_CRITIC_rank,TOPSIS_Entropy_rank,VIKOR_Entropy_rank,TOPSIS_Equal_rank,VIKOR_Equal_rank
Baseline_rank,1.0,0.6000000000000001,0.6761904761904762,0.6952380952380953,0.8285714285714286,0.6380952380952382,0.7142857142857143
TOPSIS_CRITIC_rank,0.6000000000000001,1.0,0.8476190476190477,0.9047619047619049,0.7714285714285715,0.9238095238095239,0.8476190476190477
VIKOR_CRITIC_rank,0.6761904761904762,0.8476190476190477,1.0,0.9047619047619049,0.8476190476190477,0.8857142857142857,0.961904761904762
TOPSIS_Entropy_rank,0.6952380952380953,0.9047619047619049,0.9047619047619049,1.0,0.8666666666666667,0.9428571428571428,0.9047619047619049
VIKOR_Entropy_rank,0.8285714285714286,0.7714285714285715,0.8476190476190477,0.8666666666666667,1.0,0.8095238095238096,0.8857142857142857
TOPSIS_Equal_rank,0.6380952380952382,0.9238095238095239,0.8857142857142857,0.9428571428571428,0.8095238095238096,1.0,0.8857142857142857
VIKOR_Equal_rank,0.7142857142857143,0.8476190476190477,0.961904761904762,0.9047619047619049,0.8857142857142857,0.8857142857142857,1.0
